1   "Enter: Naruto Uzumaki!"	3 October 2002	10 September 2005
75	"Sasuke's Decision: Pushed to the Edge!"	17 March 2004	17 February 2007
76	"Assassin of the Moonlit Night"	24 March 2004	24 February 2007
77	"Light vs. Dark: The Two Faces of Gaara"	31 March 2004	3 March 2007
78	"Naruto's Ninja Handbook"	7 April 2004	10 March 2007
79	"Beyond the Limit of Darkness and Light"	14 April 2004	17 March 2007
80	"The Third Hokage, Forever…"	21 April 2004	24 March 2007
81	"Return of the Morning Mist"	28 April 2004	7 April 2007
82	"Eye to Eye: Sharingan vs. Sharingan!"	5 May 2004	7 April 2007
83	"Jiraiya: Naruto's Potential Disaster!"	12 May 2004	14 April 2007
84	"Roar, Chidori! Brother vs. Brother!"	19 May 2004	21 April 2007
85	"Hate Among the Uchihas: The Last of the Clan!"	26 May 2004	28 April 2007
86	"A New Training Begins: I Will Be Strong!"	2 June 2004	5 May 2007
87	"Keep on Training: Pop Goes the Water Balloon!"	9 June 2004	12 May 2007
88	"Focal Point: The Mark of the Leaf"	16 June 2004	19 May 2007
89	"An Impossible Choice: The Pain Within Tsunade's Heart"	23 June 2004	26 May 2007
90	"Unforgivable! A Total Lack of Respect!"	7 July 2004	9 June 2007
91	"Inheritance! The Necklace of Death!"	14 July 2004	16 June 2007
92	"A Dubious Offer! Tsunade's Choice!"	21 July 2004	23 June 2007
93	"Breakdown! The Deal is Off!"	28 July 2004	30 June 2007
94	"Attack! Fury of the Rasengan!"	4 August 2004	7 July 2007
95	"The Fifth Hokage! A Life on the Line!"	11 August 2004	7 July 2007
96	"Deadlock! Sannin Showdown!"	11 August 2004	14 July 2007
97	"Kidnapped! Naruto's Hot Spring Adventure!"	18 August 2004	21 July 2007
98	"Tsunade's Warning: Ninja No More!"	25 August 2004	28 July 2007
99	"The Will of Fire Still Burns!"	1 September 2004	4 August 2007
100	"Sensei and Student: The Bond of the Shinobi"	8 September 2004	11 August 2007
101	"Gotta See! Gotta Know! Kakashi-Sensei's True Face!"	15 September 2004	18 August 2007
102	"Mission: Help an Old Friend in the Land of Tea"	22 September 2004	25 August 2007
103	"The Race is On! Trouble on the High Seas!"	29 September 2004	1 September 2007
104	"Run Idate Run! Nagi Island Awaits!"	13 October 2004	8 September 2007
105	"A Fierce Battle of Rolling Thunder!"	20 October 2004	15 September 2007
106	"The Last Leg: A Final Act of Desperation"	27 October 2004	22 September 2007
107	"The Battle Begins: Naruto vs. Sasuke"	3 November 2004	6 October 2007
108	"Bitter Rivals and Broken Bonds"	10 November 2004	13 October 2007
109	"Oto's Invitation"	17 November 2004	20 October 2007
110	"Formation! The Sasuke Recovery Team"	24 November 2004	27 October 2007
111	"Sound vs. Leaf"	24 November 2004	27 October 2007
112	"Squad Mutiny: Everything Falls Apart!"	1 December 2004	3 November 2007
113	"Full Throttle Power! Chōji, Ablaze!"	8 December 2004	3 November 2007
114	"Good-bye Old Friend…! I'll Always Believe in You!"	15 December 2004	10 November 2007
115	"Your Opponent is Me!"	22 December 2004	10 November 2007
116	"360 Degrees of Vision: The Byakugan's Blind Spot"	5 January 2005	24 November 2007
117	"Losing is Not an Option!"	5 January 2005	24 November 2007
118	"The Vessel Arrives Too Late"	12 January 2005	1 December 2007
119	"Miscalculation: A New Enemy Appears!"	19 January 2005	1 December 2007
120	"Roar and Howl! The Ultimate Tag-Team!"	2 February 2005	8 December 2007
121	"To Each His Own Battle"	9 February 2005	8 December 2007
122	"Fakeout: Shikamaru's Comeback!"	16 February 2005	15 December 2007
123	"The Leaf's Handsome Devil!"	23 February 2005	15 December 2007
124	"The Beast Within"	2 March 2005	22 December 2007
125	"The Sand Shinobi: Allies of the Leaf"	9 March 2005	22 December 2007
126	"Showdown: Gaara vs. Kimimaro"	16 March 2005	29 December 2007
127	"Vengeful Strike! The Bracken Dance!"	30 March 2005	29 December 2007
128	"A Cry on Deaf Ears"	30 March 2005	5 January 2008
129	"Brothers: Distance Among the Uchiha"	6 April 2005	5 January 2008
130	"Father and Son, the Broken Crest"	13 April 2005	12 January 2008
131	"The Secrets of the Mangekyō Sharingan"	20 April 2005	12 January 2008
132	"For a Friend…"	27 April 2005	19 January 2008
133	"A Plea from a Friend"	4 May 2005	19 January 2008
134	"The End of Tears"	11 May 2005	26 January 2008
135	"The Promise That Could Not Be Kept"	18 May 2005	26 January 2008
136	"Deep Cover?! A Super S-Ranked Mission!"	25 May 2005	2 February 2008
137	"A Town of Outlaws, The Shadow of the Fūma Clan"	1 June 2005	2 February 2008
138	"Pure Betrayal and a Fleeting Plea"	8 June 2005	9 February 2008
139	"Pure Terror! The House of Orochimaru!"	15 June 2005	9 February 2008
140	"Two Heartbeats: Kabuto's Trap"	22 June 2005	16 February 2008
141	"Sakura's Determination!"	29 June 2005	16 February 2008
142	"The Three Villains from the Maximum Security Prison"	6 July 2005	23 February 2008
143	"Tonton! I'm Counting on You!"	13 July 2005	23 February 2008
144	"A New Squad! Two People and a Dog?!"	20 July 2005	1 March 2008
145	"A New Formation: Ino–Shika–Chō!"	27 July 2005	1 March 2008
146	"Remaining Ambition: Orochimaru's Shadow"	10 August 2005	8 March 2008
147	"A Clash of Fate: You Can't Bring Me Down!"	17 August 2005	8 March 2008
148	"The Search for the Rare Bikōchū Beetle"	17 August 2005	15 March 2008
149	"What's the Difference? Don't All Insects Look Alike?"	24 August 2005	15 March 2008
150	"A Battle of Bugs! The Deceivers and the Deceived!"	31 August 2005	22 March 2008
151	"Blaze Away, Byakugan! This is My Ninja Way!"	14 September 2005	22 March 2008
152	"Funeral March for the Living"	21 September 2005	29 March 2008
153	"A Lesson Learned: The Iron Fist of Love!"	28 September 2005	29 March 2008
154	"The Enemy of the Byakugan"	5 October 2005	5 April 2008
155	"The Dark Creeping Clouds"	12 October 2005	5 April 2008
156	"Raiga's Counterattack"	19 October 2005	12 April 2008
157	"Run! The Curry of Life!"	26 October 2005	12 April 2008
158	"Follow My Lead! The Great Survival Challenge"	2 November 2005	19 April 2008
159	"The Bounty Hunter from the Wilderness"	9 November 2005	19 April 2008
160	"Hunt or Be Hunted?! Showdown at the O.K. Temple!"	16 November 2005	26 April 2008
161	"The Appearance of Strange Visitors"	23 November 2005	26 April 2008
162	"The Cursed Warrior"	30 November 2005	3 May 2008
163	"The Tactician's Intent"	7 December 2005	3 May 2008
164	"Too Late for Help"	14 December 2005	10 May 2008
165	"The Death of Naruto"	21 December 2005	10 May 2008
166	"When Time Stands Still"	4 January 2006	17 May 2008
167	"When Egrets Flap Their Wings"	4 January 2006	17 May 2008
168	"Mix it, Stretch it, Boil it Up! Burn Copper Pot, Burn!"	18 January 2006	24 May 2008
169	"Remembrance: The Lost Page"	25 January 2006	24 May 2008
170	"The Closed Door"	1 February 2006	31 May 2008
171	"Infiltration: The Set-Up!"	8 February 2006	31 May 2008
172	"Despair: A Fractured Heart"	15 February 2006	7 June 2008
173	"Battle at Sea: The Power Unleashed!"	22 February 2006	7 June 2008
174	"Impossible! Celebrity Ninja Art: Money Style Jutsu!"	1 March 2006	14 June 2008
175	"The Treasure Hunt is On!"	8 March 2006	14 June 2008
176	"Run, Dodge, Zigzag! Chase or Be Chased!"	15 March 2006	21 June 2008
177	"Please, Mr. Postman!"	22 March 2006	21 June 2008
178	"Encounter! The Boy with a Star's Name"	29 March 2006	28 June 2008
179	"The Remembered Lullaby"	5 April 2006	28 June 2008
180	"Hidden Jutsu! The Price of Ninja Art: Kujaku"	12 April 2006	5 July 2008
181	"Hoshikage: The Buried Truth"	19 April 2006	5 July 2008
182	"Reunion: The Remaining Time"	26 April 2006	26 July 2008
183	"The Star's Radiance"	3 May 2006	26 July 2008
184	"Kiba's Long Day"	10 May 2006	2 August 2008
185	"A Legend from the Hidden Leaf: The Onbaa!"	17 May 2006	2 August 2008
186	"Laughing Shino"	24 May 2006	9 August 2008
187	"Open for Business! The Leaf Moving Service"	31 May 2006	9 August 2008
188	"The Mystery of the Targeted Merchants"	7 June 2006	16 August 2008
189	"A Limitless Supply of Ninja Tools"	14 June 2006	16 August 2008
190	"The Byakugan Sees the Blind Spot!"	21 June 2006	23 August 2008
191	"Forecast: Death! Cloudy with Chance of Sun!"	28 June 2006	23 August 2008
192	"Ino Screams! Chubby Paradise!"	5 July 2006	30 August 2008
193	"Viva Dojo Challenge! Youth is All About Passion!"	12 July 2006	30 August 2008
194	"The Mysterious Curse of the Haunted Castle"	19 July 2006	6 September 2008
195	"The Third Super-Beast!"	26 July 2006	6 September 2008
196	"Hot-Blooded Confrontation: Student vs. Sensei"	9 August 2006	13 September 2008
197	"Crisis: The Konoha 11 Gather!"	16 August 2006	13 September 2008
198	"The Anbu Gives Up? Naruto's Recollection"	23 August 2006	20 September 2008
199	"The Missed Target"	30 August 2006	20 September 2008
200	"The Powerful Helper"	13 September 2006	4 October 2008
201	"Multiple Traps! Countdown to Destruction"	20 September 2006	18 October 2008
202	"The Top 5 Ninja Battles!"	27 September 2006	1 November 2008
203	"Kurenai's Decision: Team 8 Left Behind"	5 October 2006	15 November 2008
204	"Yakumo's Sealed Power"	5 October 2006	22 November 2008
205	"Kurenai's Top Secret Mission: The Promise with the Third Hokage"	5 October 2006	27 December 2008
206	"Genjutsu or Reality?"	19 October 2006	3 January 2009
207	"The Supposed Sealed Ability"	26 October 2006	10 January 2009
208	"The Weight of the Prized Artefact!"	2 November 2006	24 January 2009
209	"The Enemy: Ninja Dropouts"	9 November 2006	31 January 2009
210	"The Bewildering Forest"	16 November 2006	25 October 2009
211	"Memory of Flames"	30 November 2006	25 October 2009
212	"To Each His Own Path"	7 December 2006	8 November 2009
213	"Vanished Memories"	14 December 2006	8 November 2009
214	"Bringing Back Reality"	21 December 2006	15 November 2009
215	"A Past to Be Erased"	21 December 2006	15 November 2009
216	"The Targeted Shukaku"	11 January 2007	22 November 2009
217	"Sand Alliance With the Leaf Shinobi"	18 January 2007	22 November 2009
218	"Sealed Sand: The Counterattack!"	25 January 2007	29 November 2009
219	"The Ultimate Weapon Reborn"	1 February 2007	29 November 2009
220	"Departure"	8 February 2007	6 December 2009
Naruto: Shippūden
See also: Plot of Naruto: Shippūden
#	Episode Title	Japanese Airdate	English Airdate
1	"Homecoming"	15 February 2007	28 October 2009
2	"The Akatsuki Makes Its Move"	15 February 2007	28 October 2009
3	"The Results of Training"	22 February 2007	28 October 2009
4	"The Jinchūriki of the Sand"	1 March 2007	28 October 2009
5	"The Kazekage Stands Tall"	15 March 2007	4 November 2009
6	"Mission Cleared"	29 March 2007	11 November 2009
7	"Run, Kankurō"	29 March 2007	18 November 2009
8	"Team Kakashi, Deployed"	12 April 2007	2 December 2009
9	"The Jinchūriki's Tears"	12 April 2007	9 December 2009
10	"Sealing Technique: Phantom Dragons Nine Consuming Seals"	19 April 2007	16 December 2009
11	"The Medical Ninja's Student"	26 April 2007	23 December 2009
12	"The Retired Granny's Determination"	3 May 2007	31 December 2009
13	"A Meeting With Destiny"	10 May 2007	31 December 2009
14	"Naruto's Growth"	17 May 2007	31 December 2009
15	"The Secret Weapon is Called…"	24 May 2007	31 December 2009
16	"The Secret of Jinchūriki"	31 May 2007	6 January 2010
17	"The Death of Gaara!"	7 June 2007	13 January 2010
18	"Charge Tactic! Button Hook Entry"	21 June 2007	20 January 2010
19	"Traps Activate! Team Guy's Enemies!"	5 July 2007	27 January 2010
20	"Hiruko vs. Two Kunoichi!"	19 July 2007	3 February 2010
21	"Sasori's Real Face"	26 July 2007	10 February 2010
22	"Chiyo's Secret Skills"	2 August 2007	17 February 2010
23	"Father and Mother"	2 August 2007	24 February 2010
24	"The Third Kazekage"	9 August 2007	24 February 2010
25	"Three Minutes Between Life and Death"	16 August 2007	3 March 2010
26	"Puppet Fight: 10 vs 100!"	23 August 2007	10 March 2010
27	"Impossible Dream"	30 August 2007	17 March 2010
28	"Beasts! Alive Again!"	13 September 2007	24 March 2010
29	"Kakashi Enlightened!"	27 September 2007	31 March 2010
30	"Aesthetics of an Instant!"	27 September 2007	7 April 2010
31	"The Legacy!"	18 October 2007	14 April 2010
32	"Return of the Kazekage"	25 October 2007	21 April 2010
33	"The New Target"	8 November 2007	28 April 2010
34	"Formation! New Team Kakashi!"	15 November 2007	5 May 2010
35	"An Unnecessary Addition"	22 November 2007	12 May 2010
36	"The Fake Smile"	29 November 2007	19 May 2010
37	"Untitled"	29 November 2007	26 May 2010
38	"Simulation"	6 December 2007	2 June 2010
39	"The Tenchi Bridge"	13 December 2007	16 June 2010
40	"Nine-Tails Unleashed!"	20 December 2007	23 June 2010
41	"The Top-Secret Mission Begins!"	20 December 2007	30 June 2010
42	"Orochimaru vs. Jinchūriki"	10 January 2008	7 July 2010
43	"Sakura's Tears"	17 January 2008	14 July 2010
44	"The Secret of the Battle"	24 January 2008	21 July 2010
45	"The Consequences of Betrayal"	31 January 2008	28 July 2010
46	"The Unfinished Page"	7 February 2008	4 August 2010
47	"Infiltration: The Den of the Snake!"	14 February 2008	11 August 2010
48	"Bonds"	28 February 2008	18 August 2010
49	"Something Important…"	6 March 2008	25 August 2010
50	"The Picture Book's Story"	13 March 2008	1 September 2010
51	"Reunion"	20 March 2008	8 September 2010
52	"The Power of the Uchiha"	20 March 2008	15 September 2010
53	"Title"	3 April 2008	27 October 2010
54	"Nightmare"	3 April 2008	3 November 2010
55	"Wind"	17 April 2008	10 November 2010
56	"Writhe"	24 April 2008	17 November 2010
57	"Robbed of Sleep"	8 May 2008	1 December 2010
58	"Loneliness"	8 May 2008	8 December 2010
59	"A New Enemy"	15 May 2008	15 December 2010
60	"Impermanence"	22 May 2008	22 December 2010
61	"Contact"	29 May 2008	29 December 2010
62	"Teammate"	5 June 2008	5 January 2011
63	"The Two Kings"	19 June 2008	12 January 2011
64	"The Jet-Black Signal Fire"	3 July 2008	19 January 2011
65	"Lockdown of Darkness"	3 July 2008	26 January 2011
66	"Revived Souls"	10 July 2008	2 February 2011
67	"Everyone's Struggle to the Death"	24 July 2008	9 February 2011
68	"Moment of Awakening"	31 July 2008	16 February 2011
69	"Despair"	31 July 2008	23 February 2011
70	"Resonance"	7 August 2008	2 March 2011
71	"My Friend"	14 August 2008	9 March 2011
72	"The Quietly Approaching Threat"	21 August 2008	16 March 2011
73	"Akatsuki's Invasion"	28 August 2008	23 March 2011
74	"Under the Starry Sky"	4 September 2008	30 March 2011
75	"The Old Monk's Prayer"	11 September 2008	6 April 2011
76	"The Next Step"	25 September 2008	16 April 2011
77	"Climbing Silver"	25 September 2008	23 April 2011
78	"The Judgment"	2 October 2008	30 April 2011
79	"Unfulfilled Scream"	2 October 2008	7 May 2011
80	"Last Words"	16 October 2008	14 May 2011
81	"Sad News"	23 October 2008	21 May 2011
82	"Team 10"	30 October 2008	4 June 2011
83	"Target: Locked On"	6 November 2008	18 June 2011
84	"Kakuzu's Abilities"	13 November 2008	25 June 2011
85	"Terrifying Secret"	20 November 2008	2 July 2011
86	"Shikamaru's Genius"	4 December 2008	9 July 2011
87	"When You Curse Someone, You Dig Your Own Grave"	4 December 2008	16 July 2011
88	"Wind Release: Rasenshuriken!"	11 December 2008	23 July 2011
89	"The Price of Power"	18 December 2008	30 July 2011
90	"A Shinobi's Determination"	25 December 2008	6 August 2011
91	"Orochimaru's Hideout Discovered"	8 January 2009	20 August 2011
92	"Encounter"	15 January 2009	27 August 2011
93	"Connecting Hearts"	22 January 2009	3 September 2011
94	"A Night of Rain"	29 January 2009	10 September 2011
95	"The Two Charms"	5 February 2009	17 September 2011
96	"The Unseeing Enemy"	12 February 2009	1 October 2011
97	"The Labyrinth of Distorted Reflection"	19 February 2009	8 October 2011
98	"The Target Appears"	26 February 2009	5 November 2011
99	"Raging Tailed Beast"	5 March 2009	11 October 2011
100	"Inside the Mist"	12 March 2009	11 October 2011
101	"Everyone's Feelings"	26 March 2009	24 January 2012
102	"Regroup!"	26 March 2009	24 January 2012
103	"The Four-Corner Sealing Barrier"	9 April 2009	24 January 2012
104	"Breaking the Crystal Release"	9 April 2009	24 January 2012
105	"The Battle Over the Barrier"	16 April 2009	24 January 2012
106	"Red Camellia"	23 April 2009	24 January 2012
107	"Strange Bedfellows"	30 April 2009	24 January 2012
108	"Guidepost of the Camellia"	7 May 2009	24 January 2012
109	"Cursed Seal Counterattack"	14 May 2009	24 January 2012
110	"Memory of Guilt"	21 May 2009	24 January 2012
111	"Shattered Promise"	28 May 2009	24 January 2012
112	"A Place to Return To"	4 June 2009	24 January 2012
113	"The Serpent's Pupil"	11 June 2009	10 April 2012
114	"Eye of a Hawk"	18 June 2009	10 April 2012
115	"Zabuza's Blade"	25 June 2009	10 April 2012
116	"Guardian of the Iron Wall"	2 July 2009	10 April 2012
117	"Jūgo of the Northern Hideout"	9 July 2009	10 April 2012
118	"Formation!"	23 July 2009	10 April 2012
119	"Kakashi Chronicles ~ Boys' Life on the Battlefield ~ Part 1"	30 July 2009	10 April 2012
120	"Kakashi Chronicles ~ Boys' Life on the Battlefield ~ Part 2"	30 July 2009	10 April 2012
121	"Assemble"	6 August 2009	10 April 2012
122	"The Hunt"	13 August 2009	10 April 2012
123	"Clash!"	20 August 2009	10 April 2012
124	"Art"	27 August 2009	10 April 2012
125	"Disappearance"	3 September 2009	10 April 2012
126	"Twilight"	10 September 2009	10 April 2012
127	"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 1"	24 September 2009	10 July 2012
128	"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 2"	24 September 2009	10 July 2012
129	"Infiltrate! The Village Hidden in the Rain"	8 October 2009	10 July 2012
130	"The Man Who Became God"	8 October 2009	10 July 2012
131	"Honoured Sage Mode!"	15 October 2009	10 July 2012
132	"In Attendance, the Six Paths of Pain"	22 October 2009	10 July 2012
133	"The Tale of Jiraiya the Gallant"	29 October 2009	10 July 2012
134	"Banquet Invitation"	5 November 2009	10 July 2012
135	"The Longest Moment"	19 November 2009	10 July 2012
136	"The Light and Dark of the Mangekyō Sharingan"	19 November 2009	10 July 2012
137	"Amaterasu!"	26 November 2009	10 July 2012
138	"The End"	3 December 2009	10 July 2012
139	"The Mystery of Tobi"	10 December 2009	10 July 2012
140	"Fate"	17 December 2009	10 July 2012
141	"Truth"	24 December 2009	9 October 2012
142	"Battle of Valley of Clouds and Lightning"	7 January 2010	9 October 2012
143	"The Eight-Tails vs. Sasuke"	14 January 2010	9 October 2012
144	"Wanderer"	21 January 2010	9 October 2012
145	"Successor of the Forbidden Jutsu"	28 January 2010	9 October 2012
146	"The Successor's Wish"	4 February 2010	9 October 2012
147	"Rogue Ninja's Past"	11 February 2010	9 October 2012
148	"Heir to Darkness"	18 February 2010	9 October 2012
149	"Separation"	25 February 2010	9 October 2012
150	"The Forbidden Jutsu Released"	4 March 2010	9 October 2012
151	"Master and Student"	11 March 2010	9 October 2012
152	"Sombre News"	25 March 2010	9 October 2012
153	"Following the Master's Shadow"	25 March 2010	9 October 2012
154	"Decryption"	8 April 2010	8 January 2013
155	"The First Challenge"	8 April 2010	8 January 2013
156	"Surpassing the Master"	15 April 2010	8 January 2013
157	"Assault on the Leaf Village!"	22 April 2010	8 January 2013
158	"Power to Believe"	29 April 2010	8 January 2013
159	"Pain vs. Kakashi"	6 May 2010	8 January 2013
160	"Mystery of Pain"	13 May 2010	8 January 2013
161	"Surname is Sarutobi, Given Name, Konohamaru"	20 May 2010	8 January 2013
162	"Pain to the World"	27 May 2010	8 January 2013
163	"Explode! Sage Mode"	3 June 2010	8 January 2013
164	"Danger! Sage Mode Limit Reached"	10 June 2010	8 January 2013
165	"Nine-Tails, Captured!"	17 June 2010	8 January 2013
166	"Confession"	24 June 2010	8 January 2013
167	"Chibaku Tensei"	1 July 2010	16 March 2013
168	"The Fourth Hokage"	15 July 2010	16 March 2013
169	"The Two Students"	22 July 2010	23 March 2013
170	"Big Adventure! The Quest for the Fourth Hokage's Legacy Part 1"	29 July 2010	23 March 2013
171	"Big Adventure! The Quest for the Fourth Hokage's Legacy Part 2"	29 July 2010	23 March 2013
172	"Meeting"	5 August 2010	23 March 2013
173	"Origin of Pain"	12 August 2010	30 March 2013
174	"Tale of Naruto Uzumaki"	19 August 2010	30 March 2013
175	"Hero of the Hidden Leaf"	26 August 2010	30 March 2013
176	"Rookie Instructor Iruka"	2 September 2010	30 March 2013
177	"Iruka's Ordeal"	9 September 2010	6 April 2013
178	"Iruka's Decision"	16 September 2010	6 April 2013
179	"Kakashi Hatake, the Jōnin in Charge"	30 September 2010	6 April 2013
180	"Inari's Courage Put to the Test"	7 October 2010	6 April 2013
181	"Naruto's School of Revenge"	14 October 2010	13 April 2013
182	"Gaara's Bond"	21 October 2010	13 April 2013
183	"Naruto: Outbreak"	28 October 2010	13 April 2013
184	"Deploy! Team Tenten"	4 November 2010	13 April 2013
185	"Animal District"	11 November 2010	20 April 2013
186	"Ah, the Medicine of Youth"	18 November 2010	27 April 2013
187	"Gutsy Master and Student: The Training"	25 November 2010	4 May 2013
188	"Record of the Gutsy Ninja Master and Student"	25 November 2010	11 May 2013
189	"Sasuke's Paw Encyclopaedia"	2 December 2010	18 May 2013
190	"Naruto and the Old Soldier"	9 December 2010	25 May 2013
191	"Kakashi Love Song"	16 December 2010	1 June 2013
192	"Neji Chronicles"	23 December 2010	8 June 2013
193	"The Man Who Died Twice"	6 January 2011	15 June 2013
194	"The Worst Three-Legged Race"	13 January 2011	22 June 2013
195	"Team 10's Teamwork"	20 January 2011	29 June 2013
196	"Drive Towards Darkness"	27 January 2011	6 July 2013
197	"The Sixth Hokage Danzō"	10 February 2011	13 July 2013
198	"Five Kage Summit's Eve"	10 February 2011	20 July 2013
199	"Enter the Five Kage!"	17 February 2011	27 July 2013
200	"Naruto's Plea"	24 February 2011	3 August 2013
201	"Painful Decision"	3 March 2011	10 August 2013
202	"Racing Lightning"	10 March 2011	17 August 2013
203	"Sasuke's Ninja Way"	17 March 2011	24 August 2013
204	"Power of the Five Kage"	24 March 2011	31 August 2013
205	"Declaration of War"	31 March 2011	7 September 2013
206	"Sakura's Feelings"	7 April 2011	14 September 2013
207	"The Tailed Beast vs. The Tailless Tailed Beast"	14 April 2011	21 September 2013
208	"As One's Friend"	21 April 2011	28 September 2013
